route_id,direction_id,stop_id,headway_min
1,1,21330,30.666666666666668
1,1,21344,30.0
1,1,21362,31.0
1,1,21680,31.0
1,1,22169,31.0
1,1,22177,31.0
1,0,12610,30.0
1,0,12613,30.0
1,0,12616,30.0
1,0,12617,30.0
1,0,12618,30.0
1,0,12619,30.0
1,0,12634,30.0
1,0,12658,30.0
1,0,12659,30.0
1,0,12660,30.0
1,0,12661,30.0
1,0,12760,32.0
1,0,12761,32.0
1,0,12763,32.0
1,0,12764,32.0
1,0,12765,32.0
1,0,12766,32.0
1,0,12767,32.0
1,0,12768,32.0
1,0,12769,32.0
1,0,12770,32.0
1,0,12771,32.0
1,0,12772,32.0
1,0,12773,32.0
1,0,12774,32.0
1,0,12775,32.0
1,0,12776,32.0
1,0,12777,32.0
1,0,12782,30.0
1,0,12784,30.0
1,0,12785,30.0
1,0,12786,30.0
1,0,12787,30.0
1,0,12788,30.0
1,0,12790,30.0
1,0,12791,30.0
1,0,12792,30.0
1,0,12793,30.0
1,0,12794,30.0
1,0,12796,30.0
1,0,12797,30.0
1,0,12798,30.0
1,0,12799,30.0
1,0,12801,30.0
1,0,12802,30.0
1,0,12803,30.0
1,0,12804,30.0
1,0,12805,30.0
1,0,12806,30.0
1,0,12807,30.0
1,0,12808,30.0
1,0,12809,30.0
1,0,12813,30.0
1,0,12814,30.0
1,0,12815,30.0
1,0,12817,30.0
1,0,12818,30.0
1,0,12819,30.0
1,0,12820,30.0
1,0,12826,30.0
1,0,12830,30.0
1,0,12833,30.0
1,0,15263,32.0
1,0,180,32.0
1,0,213,32.0
1,0,214,32.0
1,0,215,32.0
1,0,216,32.0
1,0,1407,32.0
1,0,1408,32.0
1,0,16595,30.0
1,0,17656,32.0
1,0,18331,30.0
1,0,18362,32.0
1,0,1796,32.0
1,0,2088,32.0
1,0,2089,32.0
1,0,2090,32.0
1,0,2419,32.0
1,0,2420,32.0
1,0,9356,32.0
1,0,19817,32.0
1,0,19820,30.0
1,0,20673,32.0
1,0,20674,32.0
